chain,Currency,owner1,owner2,owner3,owner4
SOL,CRP,4.823529412,1,1,0
ETH,KICK,4.887254902,1,0,0
ETH,SRN,4.950980392,2,0,0
SOL,WAG,5.014705882,3,0,0
NYZO,NYZO,5.078431373,4,0,0
ETH,QUAI,5.142156863,5,0,0
ETH,OCN,5.205882353,0,0,0
ETH,EXRN,5.269607843,0,0,0
ETH,ESD,5.333333333,0,0,0
ETH,DHV,5.397058824,0,0,0
ETH,LKR,5.460784314,0,0,0
ETH,PHNX,5.524509804,0,0,0
SOL,RENDOGE,5.588235294,0,0,0
ETH,UNN,5.651960784,0,0,0
ETH,CNTR,5.715686275,0,0,0
ETH,PLE,5.779411765,0,0,0
ETH,NSURE,5.843137255,0,0,0
ETH,DMG,5.906862745,0,0,0
ETH,WINGS,5.970588235,0,2,0
MATIC,MATRIX,6.034313725,0,0,0
SOL,SOLD,6.098039216,0,0,0
ETH,IMT,6.161764706,0,0,0
TUBE,TUBE,6.225490196,0,0,0
KLP,KLP,6.289215686,0,0,0
PHR,PHR,6.352941176,0,0,0
ETH,ADD,6.416666667,5,0,0
ETH,MM,6.480392157,4,0,0
ETH,SS,6.544117647,3,0,0
SOL,MDF,6.607843137,2,0,0
SOL,PRISM,6.671568627,1,0,0
SOL,BART,6.735294118,1,0,0
ETH,BANCA,6.799019608,2,0,0
SOL,ROPE,6.862745098,3,0,0
ETH,UUU,6.926470588,4,0,0
SOL,SLX,6.990196078,5,0,0
ETH,CNN,7.053921569,0,0,0
ETH,SNOV,7.117647059,0,0,0
ETH,SHARE,7.181372549,0,0,0
SOL,YARD,7.245098039,0,0,0
ETH,MAS,7.308823529,0,0,0
PEG,PEG,7.37254902,0,0,0
ETH,LID,7.43627451,0,5,0
ETH,REX,7.5,0,0,0
BSC,TSUKI,7.56372549,0,0,0
ETH,BSD,7.62745098,0,0,0
KLKS,KLKS,7.691176471,0,0,0
BSC,BDL,7.754901961,0,0,0
ICX,BNUSD,7.818627451,0,0,0
XTZ,PAUL,7.882352941,0,0,0
XTZ,TDAO,7.946078431,0,0,0
XTZ,KUSD,8.009803922,0,0,0
XTZ,SMAK,8.073529412,0,0,0
SOL,PAI,8.137254902,0,0,2.018
MATIC,NDEFI,8.200980392,0,0,0
XTZ,UUSD,8.264705882,5,0,0
SOL,INO,8.328431373,4,0,0
ETH,LIT,8.392156863,3,0,0
XTZ,STKR,8.455882353,2,0,0
ATOM,XKI,8.519607843,1,0,0
SOL,UPS,8.583333333,1,0,0
SOL,GOD,8.647058824,2,0,0
MATIC,POLLY,8.710784314,3,0,0
ATOM,LUM,8.774509804,4,0,0
SOL,FUM,8.838235294,5,0,0
XTZ,INSTA,8.901960784,0,0,0
SOL,CPX,8.965686275,0,22,0
SOL,KDAO,9.029411765,0,0,0
XTZ,FLAME,9.093137255,0,0,0
XTZ,CRUNCH,9.156862745,0,0,0
XTZ,QUIPU,9.220588235,0,0,0
XTZ,YOU,9.284313725,0,0,0
DOT,ACA,9.348039216,0,0,0
ETH,STT,9.411764706,0,0,0
XTZ,FDAO,9.475490196,0,0,0
XTZ,CRDAO,9.539215686,0,0,0
SOL,PRT,9.602941176,0,0,0
XTZ,WRAP,9.666666667,0,0,0
SOL,SWERVE,9.730392157,0,0,0
SOL,SMRT,9.794117647,0,0,0
SOL,SBNK,9.857843137,0,0,0
SOL,SOLV,9.921568627,0,0,0
SOL,ALM,9.985294118,0,0,0
SOL,SOLAPE,10.04901961,0,0,0
SOL,GRAPE,10.1127451,5,0,0
SOL,WSTETH,10.17647059,4,0,0
CLO,CLO,10.24019608,3,0,0
SOL,TTT,10.30392157,2,0,0
ICX,BALN,10.36764706,1,0,0
SOL,SYP,10.43137255,1,0,0
BNB,AWC,10.49509804,2,0,0
FTM,SUMMIT,10.55882353,3,0,0
BSC,BCHAIN,10.62254902,4,0,0
SOL,GOFX,10.68627451,5,0,0
SOL,SOLFI,10.75,0,0,0
SOL,AGTE,10.81372549,0,0,0
MATIC,PZAP,10.87745098,0,0,0
SOL,TGT,10.94117647,0,0,0
XTZ,KALAM,11.00490196,0,0,0
SOL,XUSD,11.06862745,0,0,0
XTZ,PLENTY,11.13235294,0,0,0
SOL,METAS,11.19607843,0,0,0
FTM,STEAK,11.25980392,0,0,0
ATOM,IXO,11.32352941,0,0,0
SOL,LARIX,11.3872549,0,0,0
SOL,APT,11.45098039,0,0,0
ETH,GRAP,11.51470588,0,0,0
MATIC,ADDY,11.57843137,0,0,0
ETH,DVP,11.64215686,0,0,0
BITC,BITC,11.70588235,0,0,0
MATIC,GENX,11.76960784,0,0,0
ETH,JAR,11.83333333,0,0,0
SOL,SOLR,11.89705882,0,0,0
SOL,SONAR,11.96078431,0,1,0
MATIC,DQUICK,12.0245098,0,0,0
